NC0113F00078,Construction/Rehabilitation of Drainage Systems along Bonifacio Drive from Anda Circle to Bonifacio Drive Interchange  Port Area Manila CONSTRUCTION,"Manila District 5,South Manila District Engineering Office,NCR",AKH CONSTRUCTION & TRADING CORP.,"South Manila District Engineering Office,NCR",FC LUMPSUM,12,9/13/2013,1/13/2014,1/13/2014,100,14.5908605,120.9697276
NC0113F00097,Dredging of Maricaban Creek Retarding Pon  Pasay City OTHERS,"Pasay City,South Manila District Engineering Office,NCR",By Administration,"South Manila District Engineering Office,NCR",DPWH,3,7/15/2013,6/15/2015,6/15/2015,100,14.392988,121.016121
NC0113H00158,Concreting and Lane Line Marking along Diokno Boulevard (Buendia Extension to Senate Gate)  Pasay City PAVED (CONCRETE) TO PAVED (CONCRETE),"Pasay City,South Manila District Engineering Office,NCR","ARMANDO U. KHONG HUN GEN. CONTR., INC.","Regional Office,NCR",DPWH,47,9/17/2013,1/24/2015,1/24/2015,100,14.4690685,120.9026387
NC0114F00024,Flood Control in Manila City 2nd LD - Juan Luna Street  - C 3906.50 to 4598.25 (South Bound) REHABILITATION,"Manila District 2,North Manila District Engineering Office,NCR",FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"North Manila District Engineering Office,NCR",FMSD,14,8/11/2014,3/10/2015,,80.25,14.6161219,120.968221
NC0114F00030,Flood Control in Manila City 4th LD - Drainage Improvement along Masbate Street (Phase II) Visayan St. to Luzon Street REHABILITATION,"Manila District 4,North Manila District Engineering Office,NCR",STEVEN CONSTRUCTION & SUPPLY,"North Manila District Engineering Office,NCR",FMSD,16,10/3/2014,2/20/2015,2/18/2015,100,NULL,NULL
NC0114F00031,Flood Control in Manila City 6th LD - Rehabilitation of Road / Drainage System along Anonas Street Extension REHABILITATION,"Manila District 6,South Manila District Engineering Office,NCR",M.V. CALDO ENGINEERING CONSTRUCTION AND SUPPLIES,"North Manila District Engineering Office,NCR",FMSD,13,6/23/2014,1/12/2015,1/12/2015,100,NULL,NULL
NC0114F00058,Flood Control Projects based on Master Plan for Metro Manila and Sorrounding Areas - Manila Core Drainage Areas: Construction of Grouted Riprap and Improvement/Desilting of Maricaban Creek  Phase II DREDGING/DESILTING,"Pasay City,South Manila District Engineering Office,NCR","ARMANDO U. KHONG HUN GEN. CONTR., INC.","South Manila District Engineering Office,NCR",FMSD,43,7/16/2014,4/15/2015,,86.06,NULL,NULL
NC0114F00077,Dredging of Estero de Magdalena from Estero dela Reina to Recto DREDGING/DESILTING,"Manila District 3,North Manila District Engineering Office,NCR",ST. GERRARD CONSTRUCTION,"North Manila District Engineering Office,NCR",DDCD,5,9/25/2014,2/17/2015,2/17/2015,100,14.6070174,120.970295
NC0114F00078,Estero de San Lazaro (Dredging from Estero dela Reina to Recto DREDGING/DESILTING,"Manila District 3,North Manila District Engineering Office,NCR",FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"North Manila District Engineering Office,NCR",DDCD,6,9/25/2014,3/23/2015,3/22/2015,100,14.6180346,120.9747854
NC0114H00006,G Tuazon St - Chainage   0000      -      Chainage   0428 RAISING OF GRADE WITH DRAINAGE IMPROVEMENT,"Manila District 4,North Manila District Engineering Office,NCR",ST. GERRARD CONSTRUCTION,"North Manila District Engineering Office,NCR",UPSR,16,9/15/2014,5/20/2015,5/11/2015,100,14.605672,120.997701
NC0114H00097,Local Infrastructure Program - Rehabilitation of Roads - Cavite St.  Brgy. 363  364 and 369  Zone 37  Sta. Cruz  Manila GRAVEL TO PAVED,"DistrictWide,North Manila District Engineering Office,NCR",FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"North Manila District Engineering Office,NCR",RLIP,6,9/15/2014,2/3/2015,1/31/2015,100,14.6235421,120.9832425
NC0114H00117,Const/Repair/Rehab/Impvt of VILPs - Construction/Rehabilitation of Various Projects in Pasay City Lone District - Rehabilitation of Road and Drainage System along Galvez St. OTHER IMPVT WORKS(SLOPE PROTECTION  DRAINAGE  SIDEWALKS),"Pasay City,South Manila District Engineering Office,NCR",D.G. CHICO TRADING & CONSTRUCTION CORP.,"South Manila District Engineering Office,NCR",VILP,17,8/1/2014,2/12/2015,1/31/2015,100,NULL,NULL
NC0114H00132,National Road Lighting Program  Roxas Boulevard (Vito Cruz to P. Burgos Stret)    K0002 + (-670) to K000+197 ROAD FACILITIES (WAITING SHED  ETC.),"Manila District 5,South Manila District Engineering Office,NCR","NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J","Regional Office,NCR",MVUC,54,12/5/2014,8/28/2015,8/28/2015,100,14.5314623,120.9719198
NC0115F00026,Construction/Maintenance of Flood Mitigation Structures and Drainage System along Madrid St.  C0 to C170  Manila City 3rd LD CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR",MDAN CONSTRUCTION AND TRADING,"North Manila District Engineering Office,NCR",FMSD,2,2/27/2015,7/11/2015,5/26/2015,100,14.5941764,120.9704581
NC0115F00027,Construction of Pumping Station  Retarding Basin and Connecting Drainage - Rehabilitation with Drainage Improvement along S. Reyes St. and x 3rd LD CONSTRUCTION,"DistrictWide,North Manila District Engineering Office,NCR",FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"North Manila District Engineering Office,NCR",FMSD,7,2/23/2015,6/22/2015,5/29/2015,100,14.6052967,120.9787089
